Sample,drug
GSM4500995,MCF7 DMSO_0A
GSM4500996,MCF7 DMSO_0B
GSM4500997,MCF7 DMSO_0C
GSM4500998,MCF7 DMSO_3A
GSM4500999,MCF7 DMSO_3B
GSM4501000,MCF7 DMSO_3C
GSM4501001,MCF7 DMSO_6A
GSM4501002,MCF7 DMSO_6B
GSM4501003,MCF7 DMSO_6C
GSM4501004,MCF7 DMSO_9A
GSM4501005,MCF7 DMSO_9B
GSM4501006,MCF7 DMSO_9C
GSM4501007,MCF7 DMSO_12A
GSM4501008,MCF7 DMSO_12B
GSM4501009,MCF7 DMSO_12C
GSM4501010,MCF7 DMSO_24A
GSM4501011,MCF7 DMSO_24B
GSM4501012,MCF7 DMSO_24C
GSM4501013,MCF7 T_0A
GSM4501014,MCF7 T_0B
GSM4501015,MCF7 T_0C
GSM4501016,MCF7 T_3A
GSM4501017,MCF7 T_3B
GSM4501018,MCF7 T_3C
GSM4501019,MCF7 T_6A
GSM4501020,MCF7 T_6B
GSM4501021,MCF7 T_6C
GSM4501022,MCF7 T_9A
GSM4501023,MCF7 T_9B
GSM4501024,MCF7 T_9C
GSM4501025,MCF7 T_12A
GSM4501026,MCF7 T_12B
GSM4501027,MCF7 T_12C
GSM4501028,MCF7 T_24A
GSM4501029,MCF7 T_24B
GSM4501030,MCF7 T_24C
GSM4501031,MCF7 M_0A
GSM4501032,MCF7 M_0B
GSM4501033,MCF7 M_0C
GSM4501034,MCF7 M_3A
GSM4501035,MCF7 M_3B
GSM4501036,MCF7 M_3C
GSM4501037,MCF7 M_6A
GSM4501038,MCF7 M_6B
GSM4501039,MCF7 M_6C
GSM4501040,MCF7 M_9A
GSM4501041,MCF7 M_9B
GSM4501042,MCF7 M_9C
GSM4501043,MCF7 M_12A
GSM4501044,MCF7 M_12B
GSM4501045,MCF7 M_12C
GSM4501046,MCF7 M_24A
GSM4501047,MCF7 M_24B
GSM4501048,MCF7 M_24C
GSM4501049,MCF7 W_0A
GSM4501050,MCF7 W_0B
GSM4501051,MCF7 W_0C
GSM4501052,MCF7 W_3A
GSM4501053,MCF7 W_3B
GSM4501054,MCF7 W_3C
GSM4501055,MCF7 W_6A
GSM4501056,MCF7 W_6B
GSM4501057,MCF7 W_6C
GSM4501058,MCF7 W_9A
GSM4501059,MCF7 W_9B
GSM4501060,MCF7 W_9C
GSM4501061,MCF7 W_12A
GSM4501062,MCF7 W_12B
GSM4501063,MCF7 W_12C
GSM4501064,MCF7 W_24A
GSM4501065,MCF7 W_24B
GSM4501066,MCF7 W_24C
GSM4501067,MCF7 TM_0A
GSM4501068,MCF7 TM_0B
GSM4501069,MCF7 TM_0C
GSM4501070,MCF7 TM_3A
GSM4501071,MCF7 TM_3B
GSM4501072,MCF7 TM_3C
GSM4501073,MCF7 TM_6A
GSM4501074,MCF7 TM_6B
GSM4501075,MCF7 TM_6C
GSM4501076,MCF7 TM_9A
GSM4501077,MCF7 TM_9B
GSM4501078,MCF7 TM_9C
GSM4501079,MCF7 TM_12A
GSM4501080,MCF7 TM_12B
GSM4501081,MCF7 TM_12C
GSM4501082,MCF7 TM_24A
GSM4501083,MCF7 TM_24B
GSM4501084,MCF7 TM_24C
GSM4501085,MCF7 TW_0A
GSM4501086,MCF7 TW_0B
GSM4501087,MCF7 TW_0C
GSM4501088,MCF7 TW_3A
GSM4501089,MCF7 TW_3B
GSM4501090,MCF7 TW_3C
GSM4501091,MCF7 TW_6A
GSM4501092,MCF7 TW_6B
GSM4501093,MCF7 TW_6C
GSM4501094,MCF7 TW_9A
GSM4501095,MCF7 TW_9B
GSM4501096,MCF7 TW_9C
GSM4501097,MCF7 TW_12A
GSM4501098,MCF7 TW_12B
GSM4501099,MCF7 TW_12C
GSM4501100,MCF7 TW_24A
GSM4501101,MCF7 TW_24B
GSM4501102,MCF7 TW_24C
GSM4501103,MCF7 MW_0A
GSM4501104,MCF7 MW_0B
GSM4501105,MCF7 MW_0C
GSM4501106,MCF7 MW_3A
GSM4501107,MCF7 MW_3B
GSM4501108,MCF7 MW_3C
GSM4501109,MCF7 MW_6A
GSM4501110,MCF7 MW_6B
GSM4501111,MCF7 MW_6C
GSM4501112,MCF7 MW_9A
GSM4501113,MCF7 MW_9B
GSM4501114,MCF7 MW_9C
GSM4501115,MCF7 MW_12A
GSM4501116,MCF7 MW_12B
GSM4501117,MCF7 MW_12C
GSM4501118,MCF7 MW_24A
GSM4501119,MCF7 MW_24B
GSM4501120,MCF7 MW_24C
